HYPERPARAMETERS OF EACH ITERATION:
|   iter    |  target   | baggin... | baggin... | featur... | lambda_l1 | lambda_l2 | min_ch... | num_le... |
|  178      |  0.9994   |  0.7947   |  3.312    |  0.4327   |  0.7911   |  7.483    |  74.81    |  121.9    |
|  179      |  0.9994   |  0.5291   |  5.429    |  0.8804   |  6.815    |  5.217    |  8.085    |  82.78    |
|  180      |  0.9994   |  0.9039   |  2.948    |  0.5518   |  7.299    |  5.769    |  69.1     |  98.75    |
|  181      |  0.9995   |  0.4561   |  5.321    |  0.783    |  0.01586  |  1.081    |  53.23    |  211.6    |
|  182      |  0.9995   |  0.834    |  5.351    |  0.7531   |  2.526    |  3.646    |  35.93    |  69.9     |
|  183      |  0.9994   |  0.9913   |  4.474    |  0.571    |  5.644    |  5.535    |  50.33    |  234.0    |
|  184      |  0.9994   |  0.9632   |  2.16     |  0.4054   |  4.786    |  4.293    |  20.96    |  147.5    |
|  185      |  0.9994   |  0.6497   |  2.297    |  0.811    |  3.851    |  4.45     |  20.21    |  147.0    |
|  186      |  0.9995   |  0.7856   |  6.724    |  0.9508   |  4.657    |  1.1      |  26.74    |  110.8    |
|  187      |  0.9993   |  0.4352   |  3.294    |  0.4555   |  2.315    |  4.906    |  24.63    |  138.6    |
|  188      |  0.9994   |  0.7522   |  6.565    |  0.5453   |  1.988    |  5.001    |  61.73    |  131.5    |
|  189      |  0.9994   |  0.7591   |  3.479    |  0.683    |  7.658    |  3.874    |  27.87    |  168.1    |
|  190      |  0.9995   |  0.7941   |  5.01     |  0.6245   |  2.991    |  1.463    |  26.8     |  111.3    |
|  191      |  0.9995   |  0.9158   |  6.313    |  0.9488   |  4.465    |  8.728    |  80.26    |  120.4    |
|  192      |  0.9993   |  0.5579   |  5.937    |  0.4758   |  4.999    |  3.224    |  27.63    |  47.78    |
|  193      |  0.9993   |  0.6578   |  4.156    |  0.4344   |  7.435    |  3.692    |  9.316    |  79.46    |
|  194      |  0.9995   |  0.9753   |  4.204    |  0.7978   |  5.126    |  1.627    |  73.23    |  175.0    |
|  195      |  0.9994   |  0.9059   |  2.932    |  0.4093   |  4.15     |  2.813    |  44.14    |  209.5    |
|  196      |  0.9994   |  0.9453   |  3.864    |  0.4595   |  3.456    |  9.388    |  8.859    |  82.25    |
|  197      |  0.9993   |  0.5097   |  3.768    |  0.4657   |  7.604    |  3.539    |  41.26    |  47.09    |
|  198      |  0.9994   |  0.5442   |  5.814    |  0.7436   |  9.32     |  5.98     |  46.41    |  85.98    |
|  199      |  0.9995   |  0.9125   |  4.384    |  0.9705   |  5.237    |  6.309    |  51.41    |  234.2    |
|  200      |  0.9994   |  0.423    |  3.454    |  0.6241   |  1.222    |  0.03297  |  54.73    |  28.91    |
|  201      |  0.9994   |  0.5346   |  3.735    |  0.5534   |  3.363    |  6.936    |  50.4     |  213.9    |
|  202      |  0.9994   |  0.6877   |  3.403    |  0.4862   |  1.49     |  0.02907  |  82.4     |  146.7    |
|  203      |  0.9994   |  0.8339   |  6.209    |  0.4401   |  3.453    |  1.433    |  25.88    |  110.0    |
|  204      |  0.9994   |  0.9373   |  2.508    |  0.5063   |  2.64     |  0.1759   |  74.19    |  62.01    |
|  205      |  0.9994   |  0.4715   |  1.882    |  0.7811   |  8.863    |  6.915    |  31.64    |  60.17    |
|  206      |  0.9994   |  0.5541   |  5.935    |  0.8464   |  3.444    |  8.207    |  17.14    |  22.71    |
|  207      |  0.9994   |  0.4296   |  3.981    |  0.6935   |  1.677    |  6.429    |  45.05    |  100.8    |
|  208      |  0.9994   |  0.5564   |  1.874    |  0.6083   |  3.545    |  4.519    |  20.78    |  179.1    |
|  209      |  0.9994   |  0.8742   |  5.578    |  0.5714   |  8.961    |  3.544    |  6.114    |  166.4    |
|  210      |  0.9995   |  0.5766   |  1.987    |  0.7734   |  0.06354  |  8.228    |  6.528    |  249.7    |
|  211      |  0.9994   |  0.564    |  6.991    |  0.9459   |  8.776    |  1.825    |  11.83    |  213.2    |
|  212      |  0.9994   |  0.5748   |  4.991    |  0.9521   |  8.302    |  9.924    |  71.22    |  157.3    |
|  213      |  0.9995   |  0.6718   |  5.61     |  0.8486   |  0.5752   |  4.672    |  49.03    |  45.79    |
|  214      |  0.9994   |  0.5969   |  2.256    |  0.9838   |  8.463    |  8.9      |  32.05    |  22.0     |
|  215      |  0.9995   |  0.8127   |  3.051    |  0.7106   |  0.312    |  5.941    |  8.702    |  119.2    |
|  216      |  0.9994   |  0.9946   |  6.049    |  0.4977   |  0.4762   |  6.215    |  13.31    |  169.3    |
|  217      |  0.9994   |  0.8811   |  2.309    |  0.4341   |  1.272    |  0.4102   |  96.67    |  213.0    |
|  218      |  0.9994   |  0.5618   |  1.088    |  0.7354   |  7.464    |  3.068    |  76.41    |  68.19    |
|  219      |  0.9993   |  0.4144   |  4.484    |  0.4217   |  3.338    |  3.355    |  36.47    |  69.96    |
|  220      |  0.9993   |  0.6323   |  4.586    |  0.4919   |  4.098    |  4.783    |  56.84    |  195.0    |
|  221      |  0.9994   |  0.9782   |  2.002    |  0.4693   |  0.08596  |  0.4869   |  83.84    |  94.35    |
|  222      |  0.9995   |  0.7292   |  5.205    |  0.968    |  0.7533   |  1.654    |  97.27    |  56.03    |
|  223      |  0.9995   |  0.9961   |  6.374    |  0.7317   |  2.676    |  5.023    |  85.91    |  101.5    |
|  224      |  0.9994   |  0.4115   |  3.511    |  0.6197   |  0.8498   |  0.5004   |  82.15    |  92.25    |
|  225      |  0.9994   |  0.7046   |  5.843    |  0.6298   |  1.363    |  5.129    |  48.32    |  46.35    |
|  226      |  0.9994   |  0.5732   |  1.524    |  0.9824   |  7.289    |  9.797    |  46.2     |  33.69    |
|  227      |  0.9995   |  0.4904   |  6.339    |  0.9389   |  2.74     |  0.8655   |  75.35    |  24.03    |
|  228      |  0.9994   |  0.6412   |  4.967    |  0.8906   |  9.501    |  3.936    |  59.63    |  207.7    |
|  229      |  0.9994   |  0.6821   |  1.038    |  0.7585   |  4.306    |  6.356    |  25.05    |  137.7    |
|  230      |  0.9995   |  0.5386   |  4.92     |  0.7005   |  1.779    |  1.979    |  96.07    |  57.01    |
|  231      |  0.9995   |  0.6107   |  5.677    |  0.9293   |  0.9963   |  3.0      |  82.81    |  89.92    |
|  232      |  0.9994   |  0.9232   |  3.452    |  0.7256   |  7.098    |  4.696    |  18.95    |  154.8    |
|  233      |  0.9995   |  0.6829   |  2.093    |  0.7632   |  0.1841   |  1.987    |  60.41    |  26.59    |
|  234      |  0.9995   |  0.8701   |  4.454    |  0.7386   |  0.06416  |  9.459    |  85.02    |  56.12    |
|  235      |  0.9994   |  0.7937   |  4.945    |  0.4788   |  1.873    |  1.855    |  98.01    |  56.59    |
